Ýrsaliye No,Resmi Belge No,Plaka No,Stok Kodu,Stok Adý,Miktar,Birim,Müþteri Ünvaný,Ýrsaliye Tarihi
"6,507", DURRES - M/V DYNASTY,                                                            ,EM.00.040,18 Hekur Periodik,"36,520",KG,SHIJAKU SHPK (SHSH),04/05/2023
"5,337",00 13005,                                                            ,DM.00.025,12 Hekur Periodik,"14,460",KG,SHIJAKU SHPK (SHSH),10/04/2023
"5,337",00 13005,                                                            ,EM.00.050,22 Hekur Periodik,"18,400",KG,SHIJAKU SHPK (SHSH),10/04/2023
648,00 80773,                                                            ,DM.00.035,16 Hekur Periodik,"8,200",KG,SHIJAKU SHPK (SHSH),14/01/2023
648,00 80773,                                                            ,DM.00.040,18 Hekur Periodik,"18,120",KG,SHIJAKU SHPK (SHSH),14/01/2023
648,00 80773,                                                            ,DM.00.045,20 Hekur Periodik,"6,000",KG,SHIJAKU SHPK (SHSH),14/01/2023
"2,575",46,                                                            ,DM.00.025,12 Hekur Periodik,"32,120",KG,SHIJAKU SHPK (SHSH),22/02/2023
"2,611",86,                                                            ,DM.00.020,10 Hekur Periodik,"8,000",KG,DI GIPS  BULGARIA LTD,22/02/2023
"2,611",86,                                                            ,DM.00.025,12 Hekur Periodik,"8,340",KG,DI GIPS  BULGARIA LTD,22/02/2023
"2,611",86,                                                            ,DM.00.030,14 Hekur Periodik,"8,420",KG,DI GIPS  BULGARIA LTD,22/02/2023
"2,639",118,                                                            ,DM.00.040,18 Hekur Periodik,"10,300",KG,METAL MIX SHPK ,23/02/2023
"2,639",118,                                                            ,DM.00.045,20 Hekur Periodik,"12,300",KG,METAL MIX SHPK ,23/02/2023
"2,640",119,                                                            ,DM.00.015,9 Hekur Periodik,"25,120",KG,FOKUS TRADE BALKAN DOOEL,23/02/2023
"2,641",120,                                                            ,DM.00.020,10 Hekur Periodik,"25,220",KG,STIL ZELEZO DOOEL ,23/02/2023
"2,642",122,                                                            ,DM.00.025,12 Hekur Periodik,"26,660",KG,METAL MIX SHPK ,23/02/2023
"2,643",123,                                                            ,DM.00.010,8 Hekur Periodik,"25,000",KG,STIL ZELEZO DOOEL ,23/02/2023
"2,709",199,                                                            ,DM.00.030,14 Hekur Periodik,"21,700",KG,UNITRADE SHPK (KOSOVA),24/02/2023
"2,710",200,                                                            ,DM.00.015,9 Hekur Periodik,"8,720",KG,SHIJAKU SHPK (SHSH),24/02/2023
"2,710",200,                                                            ,DM.00.025,12 Hekur Periodik,"4,300",KG,SHIJAKU SHPK (SHSH),24/02/2023
"2,710",200,                                                            ,DM.00.030,14 Hekur Periodik,"6,420",KG,SHIJAKU SHPK (SHSH),24/02/2023
"2,710",200,                                                            ,DM.00.035,16 Hekur Periodik,"8,720",KG,SHIJAKU SHPK (SHSH),24/02/2023
"2,710",200,                                                            ,DM.00.040,18 Hekur Periodik,"4,300",KG,SHIJAKU SHPK (SHSH),24/02/2023
"2,710",200,                                                            ,DM.00.045,20 Hekur Periodik,"4,200",KG,SHIJAKU SHPK (SHSH),24/02/2023
"2,711",201,                                                            ,DM.00.010,8 Hekur Periodik,"6,320",KG,BE-IS SHPK,24/02/2023
"2,711",201,                                                            ,DM.00.020,10 Hekur Periodik,"2,140",KG,BE-IS SHPK,24/02/2023
"2,711",201,                                                            ,DM.00.025,12 Hekur Periodik,"8,280",KG,BE-IS SHPK,24/02/2023
"2,711",201,                                                            ,DM.00.040,18 Hekur Periodik,"4,240",KG,BE-IS SHPK,24/02/2023
"2,711",201,                                                            ,DM.00.045,20 Hekur Periodik,"2,100",KG,BE-IS SHPK,24/02/2023
"2,711",201,                                                            ,DM.00.050,22 Hekur Periodik,"4,020",KG,BE-IS SHPK,24/02/2023
"2,711",201,                                                            ,DM.00.055,25 Hekur Periodik,"3,900",KG,BE-IS SHPK,24/02/2023
"2,712",202,                                                            ,DM.00.045,20 Hekur Periodik,"4,380",KG,METAL KOMERC LTD DOO (SIRBISTAN),24/02/2023
"2,712",202,                                                            ,DM.00.055,25 Hekur Periodik,"19,940",KG,METAL KOMERC LTD DOO (SIRBISTAN),24/02/2023
