Ýrsaliye Tarihi,Ýrsaliye No,Resmi Belge No,Satýþ Tipi,Müþteri Ünvaný,Nakliyeci Ünvan,Plaka,Miktar, Nakliye Yerel Tutar , Nakliye Yerel Tutar Toplam , Nakliye Firma Tutar , Nakliye Firma Tutar Toplam ,Þehir
04/01/2023,1,80023,Yurt Dýþý,EURO ABI (KOSOVA),EURO ABI (KOSOVA),06 712 DT,"26,820", -   , -   , -   , -   ,VITI
04/01/2023,2,80024,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA 974 NK,"25,240", -   , -   , -   , -   ,TETOVE
04/01/2023,3,8028,Yurt Dýþý,BRODOMETALURGIJA DOO,BRODOMETALURGIJA DOO,DG AN 186,"24,220", -   , -   , -   , -   ,SPLIT
04/01/2023,4,80025,Yurt Dýþý,BRODOMETALURGIJA DOO,BRODOMETALURGIJA DOO,DG AM 433,"24,120", -   , -   , -   , -   ,SPLIT
04/01/2023,5,0080027/0080029,Yurt Ýçi,G.P.G COMPANY SHPK ,G.P.G COMPANY SHPK ,AB 548 AR,"12,580", -   , -   , -   , -   ,TIRANE
04/01/2023,6,80033,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AB 709 FB,"23,300", -   , -   , -   , -   ,TETOVE
04/01/2023,7,80035,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,SK 6081 BB,"20,840", -   , -   , -   , -   ,SHKUP
04/01/2023,8,80038,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA 611 BA,"27,180", -   , -   , -   , -   ,TETOVE
04/01/2023,9,80039,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AB 532 DM,"25,140", -   , -   , -   , -   ,TETOVE
04/01/2023,10,80041,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA 051 MD,"26,360", -   , -   , -   , -   ,TETOVE
04/01/2023,11,80042,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AB 503 FX,"25,840", -   , -   , -   , -   ,TETOVE
04/01/2023,12,80043,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AB 922 AL,"24,680", -   , -   , -   , -   ,TETOVE
04/01/2023,13,80044,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 024 HE,"32,220", -   , -   , -   , -   ,ELBASAN
04/01/2023,14,80048,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA 342 ZB,"24,800", -   , -   , -   , -   ,TETOVE
04/01/2023,15,80049,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA 068 TK,"25,080", -   , -   , -   , -   ,TETOVE
04/01/2023,16,80050,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,SK0798 BG,"25,620", -   , -   , -   , -   ,SHKUP
04/01/2023,17,80051,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,SK 0731 BC,"22,760", -   , -   , -   , -   ,SHKUP
04/01/2023,18,80052,Yurt Dýþý,METAL IN (KOSOVA),METAL IN (KOSOVA),01 935 PD,"27,500", -   , -   , -   , -   ,PRISHTINE
04/01/2023,19,80053,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,SK 9249 AK,"22,440", -   , -   , -   , -   ,SHKUP
04/01/2023,20,80054,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 035 GB,"32,080", -   , -   , -   , -   ,ELBASAN
04/01/2023,21,80055,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AA 497 FX,"32,380", -   , -   , -   , -   ,ELBASAN
04/01/2023,22,80056,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AA 401 DL,"33,740", -   , -   , -   , -   ,ELBASAN
04/01/2023,23,80057,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 999 UU,"30,860", -   , -   , -   , -   ,FUSHE KRUJE
04/01/2023,24,80058,Yurt Dýþý,METAL MIX SHPK ,METAL MIX SHPK ,01 295 PS,"21,980", -   , -   , -   , -   ,LIPJAN
04/01/2023,26,80060,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,OH 0388 AD,"25,320", -   , -   , -   , -   ,SHKUP
04/01/2023,27,80061,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,OH 7656 AD,"24,180", -   , -   , -   , -   ,SHKUP
04/01/2023,28,80062,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,OH 8161 AB,"26,640", -   , -   , -   , -   ,SHKUP
